id;price;region;street_name;room_count;total_square;floor;subway;max_floor;street_number;living_square;kitchen_square
2000;40000;Оболонський;Оболонський просп.;1;21;5;Мінська;9;14ж;12;5
2001;125000;Дарницький;Дніпровська наб.;1;47;5;Осокорки;25;18б;14;19
2002;125000;Дарницький;Дніпровська наб.;1;48;17;Осокорки;25;18а;15;19
2003;56500;Святошинський;Приладний пров.;1;43,39;4;Академмістечко;24;10в;16;11
2004;104000;Голосіївський;Заболотного академіка вул.;1;46,45;19;Теремки;34;1;1;1
2005;135000;Дарницький;Бориса Гмирі вул.;3;84;12;Позняки;25;16;48;17
2006;133000;Шевченківський;Саксаганського вул.;2;74;21;Університет;28;121;35;12
2007;640000;Печерський;Джона Маккейна вул. (Кудрі Івана);4;160;24;Либідська;25;1б;110;24
2008;185000;Шевченківський;Берестейський просп. (Перемоги);2;85;9;Шулявська;16;42А;49;25
2009;145000;Голосіївський;Велика Васильківська вул. (Червоноармійська);3;85;2;Олімпійська;9;80;51;10
2010;58000;Оболонський;Озерна вул.;2;46;4;Героїв Дніпра;9;12;38;8
2011;300000;Оболонський;Левка Лук'яненка вул. (Маршала Тимошенка);4;168;10;Мінська;21;13А;144;17
2013;84000;Шевченківський;Берестейський просп. (Перемоги);1;52,5;11;Вокзальна;36;11А;20;15
2014;650000;Печерський;Мечникова вул.;3;105;10;Кловська;11;11А;36,2;43,7
